datetime,pm2_5,pm10,o3,no2,so2,co,latitude,longitude,temp,humidity,wind_speed,precip,aqi,population,pop_density_per_km2,pct_elderly,pct_children,respiratory_illness_rate_per_100k,dow,month
2024-12-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,12
2024-12-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,12
2024-12-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,12
2024-12-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,12
2024-12-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,12
2024-12-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,12
2024-12-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,12
2024-12-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,12
2024-12-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,12
2024-12-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,12
2025-01-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,1
2025-01-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,1
2025-01-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,1
2025-01-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,1
2025-01-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,1
2025-01-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,1
2025-01-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,1
2025-01-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,1
2025-01-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,1
2025-01-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,1
2025-01-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,1
2025-01-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,1
2025-01-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,1
2025-01-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,1
2025-01-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,1
2025-01-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,1
2025-01-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,1
2025-01-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,1
2025-01-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,1
2025-01-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,1
2025-01-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,,1,1
2025-01-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2,1
2025-01-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,,3,1
2025-01-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,,4,1
2025-01-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,,5,1
2025-01-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,6,1
2025-01-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,,0,1
